Company,Event / Reason,Date,Theme,How,Who did the Action,# of People,Where,Source
Hewlett-Packard,"In September 2008, HP announced it was cutting 7.5% of its workforce. Thousands of these jobs were in Europe and number of demonstrations took place across the continent to protest the layoffs and working conditions.",2009-01-30,Labor / Wage,Protest,Workers,NaN,"Germany, France, Italy, Austrian, Belgium, UK",https://www.eurofound.europa.eu/publications/article/2009/europe-wide-protests-against-hewlett-packard-job-cuts
Facebook,A small group of people in Paris protest the redesign of Facebook's website.,2009-04-19,Consumer Outrage,Protest,Concerned Citizens,24,"Paris, France",https://techcrunch.com/2009/04/19/french-fury-parisians-hit-the-streets-in-protest-against-facebook-redesign/
Cisco,"As part of a protest across the US, hundreds of protestors marched against the firings of janitors at Cisco Systems.",2009-04-29,Labor / Wage,Protest,Workers,200+,San Jose,https://www.huffpost.com/entry/cisco-janitors-take-to-th_b_177212
Cisco,Approximately one hundred janitors and allies protested outside of the Cisco Systems Inc. headquarters following the loss of 75 janitors were fired.,2009-05-01,Labor / Wage,Protest,Workers,100,San Jose,https://www.bizjournals.com/sanjose/stories/2009/04/27/daily89.html
Cisco,Dozens of janitors stage 2 day hunger strike in response to 75 janitors being laid off.,2009-06-01,Labor / Wage,Protest (Hunger Strike),Workers,24+,San Francisco,https://www.ibtimes.com/cisco-live-2009-protest-disrupted-cisco-executive-keynotes-287948
Cisco,A group of laid-off janitors and allies protesting and disrupting the keynote speech of CEO John Chambers. The event took place following a wave of firings of the company's janitorial staff.,2009-06-30,Labor / Wage,Protest,Workers,NaN,San Francisco,https://www.ibtimes.com/cisco-live-2009-protest-disrupted-cisco-executive-keynotes-287948
Hewlett-Packard,"Roughly a dozen protestors climbed the roof of HP's Palo Alto headquarters and painted the words ""Hazardous Products"" on the roof of the building.",2009-07-28,Environmental Cause,Protest,Concerned Citizens,12,Palo Alto,https://www.mercurynews.com/2009/07/28/greenpeace-protests-hps-use-of-hazardous-chemicals-by-painting-on-companys-roof/
Intel,"Roughly 500 workers went on strike in Sichuan, China demanding equal pay for equal work.",2009-08-18,Labor / Wage,Walk-out,Workers,500,"Sichuan, China",https://clb.org.hk/content/intel-workers-sichuan-strike-over-unequal-pay-equal-work
Intel,Hundreds of ultra-Orthodox Jews protested an Intel electronic chip plant in Israel because work was taking place at the plant on the Jewish Sabbath.,2009-11-14,Ethics (Religion),Protest,Concerned Citizens,200+,Israel,https://www.reuters.com/article/israel-intel/ultra-orthodox-jews-protest-at-intel-israel-plant-idUSLE14196720091114
Apple (Wintek),Thousands of factory workers were involved in a violent protest after workers' end of the year bonuses were eliminated. Earlier in the year the factory was reported to have suffered 4 deaths after workers were exposed to hazardous chemicals. The factory manufactured parts for companies such as Apple and Nokia.,2010-01-15,Foreign Working Conditions,Protest,Factory Workers,2000,"Suzhou, China",https://www.pri.org/stories/2010-01-26/apple-news-workers-rights-focus-again
